"","dates","fits.l","fits.u","fit"
"23",2020-03-10,0,47.4203104410743,15.2343709410442
"24",2020-03-11,0,56.0831514703362,17.1495085594927
"25",2020-03-12,0,66.3285383328126,19.3054012515698
"26",2020-03-13,0,78.4455737958018,21.732314730256
"27",2020-03-14,0,92.7761745219759,24.4643194606741
"28",2020-03-15,0,109.724719221733,27.5397689616869
"29",2020-03-16,0,129.76945935011,31.0018382355688
"30",2020-03-17,0,153.476014333553,34.8991298845487
"31",2020-03-18,0,181.513332132819,39.2863564232534
"32",2020-03-19,0,214.67256551473,44.2251083657601
"33",2020-03-20,0,253.88939668054,49.7847188701256
"34",2020-03-21,0,300.2704402039,56.0432370787893
"35",2020-03-22,0,355.124469312485,63.0885238191857
"36",2020-03-23,0,419.99934665176,71.0194850466683
"37",2020-03-24,0,496.725701637546,79.9474603455548
"38",2020-03-25,0,587.468586878285,89.997785980904
"39",2020-03-26,0,694.788571300057,101.31155444408
"40",2020-03-27,0,821.713993890858,114.04759519366
"41",2020-03-28,0,971.826416909299,128.384704398511
"42",2020-03-29,0,1149.36168986336,144.524154985509
"43",2020-03-30,0,1359.32947606717,162.692522229445
"44",2020-03-31,0,1607.65461455804,183.144864552451
